model,N,k,p_over_pc,Phi_mean,Psi_mean,chi_mean,p_eff_mean,n_reps
ER,1000,3,0.4,0.0051,0.026077919368200135,1.2591469942723226,0.008994994994994995,10
ER,1000,3,0.44117647058823534,0.0066,0.027542474983453656,1.3110435004951364,0.009837837837837838,10
ER,1000,3,0.4823529411764706,0.0064,0.020593929456410073,1.3748954609256694,0.010776576576576578,10
ER,1000,3,0.5235294117647059,0.007000000000000001,0.018979459045838067,1.4778680280710281,0.011656256256256256,10
ER,1000,3,0.5647058823529412,0.0091,0.0207659019061318,1.659521081266736,0.012653653653653655,10
ER,1000,3,0.6058823529411765,0.0094,0.0180608272345978,1.7212574240125285,0.013536736736736738,10
ER,1000,3,0.6470588235294118,0.0101,0.016494705148747513,1.871625765440911,0.014466266266266268,10
ER,1000,3,0.6882352941176472,0.0126,0.018299737114104382,2.0603135719338703,0.015409009009009008,10
ER,1000,3,0.7294117647058823,0.0158,0.01911654878230393,2.53336581465865,0.016335535535535538,10
ER,1000,3,0.7705882352941177,0.0154,0.016836881548823145,2.7272520206164463,0.017135135135135135,10
ER,1000,3,0.8117647058823529,0.022600000000000002,0.021028412670685233,3.594331878287638,0.018207207207207206,10
ER,1000,3,0.8529411764705883,0.030199999999999998,0.024565776178474302,4.2910402409792905,0.01909069069069069,10
ER,1000,3,0.8941176470588237,0.0355,0.02649737447869266,4.589149731651505,0.01999239239239239,10
ER,1000,3,0.9352941176470588,0.05500000000000001,0.03726928473324824,6.157061641843168,0.020758358358358358,10
ER,1000,3,0.9764705882352941,0.09,0.05328534580567462,8.275922879714425,0.02191991991991992,10
ER,1000,3,1.0176470588235296,0.1082,0.06095351319352836,12.898999639184925,0.022636436436436435,10
ER,1000,3,1.058823529411765,0.24710000000000001,0.13341495088359362,14.299743642206426,0.023656656656656658,10
ER,1000,3,1.1,0.512,0.2884520211495462,15.879177831814179,0.02464944944944945,10
ER,1000,3,1.1411764705882355,0.7182999999999999,0.43921682195312,10.56036738052816,0.025475475475475472,10
ER,1000,3,1.1823529411764706,0.8545,0.5684725520085334,7.1532916072011,0.026486886886886885,10
ER,1000,3,1.223529411764706,0.9023,0.6438045366499381,5.043670212971973,0.027294094094094095,10
ER,1000,3,1.2647058823529411,0.9615,0.7377700128315663,4.239697423151161,0.02828888888888889,10
ER,1000,3,1.3058823529411765,0.9775,0.7854183120029492,3.528779060797452,0.02914214214214214,10
ER,1000,3,1.3470588235294119,0.9872,0.8322504864233029,2.8837084914473543,0.03005945945945946,10
ER,1000,3,1.3882352941176472,0.9962,0.8719606077347247,2.573147132722716,0.03089189189189189,10
ER,1000,3,1.4294117647058826,0.9970000000000001,0.8978377476303556,2.587815687424917,0.031948948948948945,10
ER,1000,3,1.470588235294118,0.9984999999999999,0.9189899905205703,2.243476661745818,0.03284784784784785,10
ER,1000,3,1.511764705882353,0.9989000000000001,0.9367135725429204,1.9711562521450208,0.03380740740740741,10
ER,1000,3,1.5529411764705883,0.9995,0.9509364249226356,1.76933335833565,0.03474334334334334,10
ER,1000,3,1.5941176470588234,0.9999,0.9592126298565751,1.7604884720659235,0.03562862862862863,10
ER,1000,3,1.6352941176470588,0.9997,0.9689430504919393,1.6204508342291646,0.0364970970970971,10
ER,1000,3,1.6764705882352942,1.0,0.9749046062307464,1.6489576777088903,0.037411811811811815,10
ER,1000,3,1.7176470588235295,1.0,0.9820765940961109,1.399309541273793,0.038465065065065064,10
ER,1000,3,1.758823529411765,1.0,0.9847024279592131,1.5098891791067217,0.03925985985985986,10
ER,1000,3,1.7999999999999998,1.0,0.9879593871414265,1.3867996705216492,0.04027287287287287,10
