model,N,p,p_over_pc,S,replicate
ER_classic,1000,0.0006,0.6,0.035,0
ER_classic,1000,0.0006235294117647058,0.6235294117647058,0.008,0
ER_classic,1000,0.0006470588235294117,0.6470588235294117,0.017,0
ER_classic,1000,0.0006705882352941176,0.6705882352941176,0.011,0
ER_classic,1000,0.0006941176470588235,0.6941176470588235,0.012,0
ER_classic,1000,0.0007176470588235293,0.7176470588235293,0.021,0
ER_classic,1000,0.0007411764705882352,0.7411764705882352,0.038,0
ER_classic,1000,0.0007647058823529411,0.7647058823529411,0.035,0
ER_classic,1000,0.000788235294117647,0.7882352941176469,0.014,0
ER_classic,1000,0.0008117647058823529,0.8117647058823528,0.016,0
ER_classic,1000,0.0008352941176470588,0.8352941176470587,0.029,0
ER_classic,1000,0.0008588235294117647,0.8588235294117648,0.041,0
ER_classic,1000,0.0008823529411764706,0.8823529411764706,0.051,0
ER_classic,1000,0.0009058823529411765,0.9058823529411765,0.03,0
ER_classic,1000,0.0009294117647058824,0.9294117647058824,0.048,0
ER_classic,1000,0.0009529411764705883,0.9529411764705883,0.073,0
ER_classic,1000,0.0009764705882352941,0.9764705882352941,0.084,0
ER_classic,1000,0.001,1.0,0.106,0
ER_classic,1000,0.001023529411764706,1.0235294117647058,0.048,0
ER_classic,1000,0.0010470588235294118,1.0470588235294118,0.066,0
ER_classic,1000,0.0010705882352941177,1.0705882352941176,0.132,0
ER_classic,1000,0.0010941176470588235,1.0941176470588234,0.106,0
ER_classic,1000,0.0011176470588235294,1.1176470588235294,0.202,0
ER_classic,1000,0.0011411764705882353,1.1411764705882352,0.318,0
ER_classic,1000,0.0011647058823529412,1.1647058823529413,0.241,0
ER_classic,1000,0.001188235294117647,1.188235294117647,0.199,0
ER_classic,1000,0.001211764705882353,1.2117647058823529,0.288,0
ER_classic,1000,0.0012352941176470588,1.2352941176470589,0.328,0
ER_classic,1000,0.0012588235294117647,1.2588235294117647,0.426,0
ER_classic,1000,0.0012823529411764706,1.2823529411764705,0.346,0
ER_classic,1000,0.0013058823529411765,1.3058823529411765,0.337,0
ER_classic,1000,0.0013294117647058823,1.3294117647058823,0.458,0
ER_classic,1000,0.0013529411764705882,1.352941176470588,0.459,0
ER_classic,1000,0.001376470588235294,1.3764705882352941,0.456,0
ER_classic,1000,0.0014,1.4,0.513,0
ER_classic,1000,0.0006,0.6,0.016,1
ER_classic,1000,0.0006235294117647058,0.6235294117647058,0.02,1
ER_classic,1000,0.0006470588235294117,0.6470588235294117,0.015,1
ER_classic,1000,0.0006705882352941176,0.6705882352941176,0.016,1
