model,N,k,p_over_pc,Phi_mean,Psi_mean,chi_mean,p_eff_mean,n_reps
ER,200,4,0.4,0.008,0.25,0.3,0.047693467336683414,10
ER,200,4,0.44117647058823534,0.01,0.35,0.3,0.051572864321608035,10
ER,200,4,0.4823529411764706,0.0175,0.4666666666666666,0.5,0.05766331658291457,10
ER,200,4,0.5235294117647059,0.02,0.34833333333333333,0.9,0.061834170854271356,10
ER,200,4,0.5647058823529412,0.023,0.2916269841269841,1.05,0.06642211055276383,10
ER,200,4,0.6058823529411765,0.024,0.21496753246753247,1.025,0.07220603015075377,10
ER,200,4,0.6470588235294119,0.0235,0.18030025530025529,1.0515151515151515,0.07588442211055277,10
ER,200,4,0.6882352941176472,0.027500000000000004,0.1573895111845776,1.3044747474747473,0.08104522613065326,10
ER,200,4,0.7294117647058824,0.0295,0.1193807530189109,1.3425666410492234,0.08665829145728643,10
ER,200,4,0.7705882352941177,0.0335,0.12009947618822388,1.412211579986898,0.09208040201005026,10
ER,200,4,0.811764705882353,0.038,0.10021890865345791,1.6571101118935332,0.09606030150753768,10
ER,200,4,0.8529411764705883,0.037,0.08694031107735828,1.7891122113300515,0.1003718592964824,10
ER,200,4,0.8941176470588236,0.05800000000000001,0.09851798974863701,2.1342539525727138,0.10607537688442212,10
ER,200,4,0.9352941176470589,0.05450000000000001,0.08224177596272154,2.4852302357652007,0.1104070351758794,10
ER,200,4,0.9764705882352943,0.086,0.10941400940825459,3.4411351583208307,0.11540201005025126,10
ER,200,4,1.0176470588235293,0.10700000000000001,0.10181229882416173,4.2993466240266,0.12039195979899497,10
ER,200,4,1.0588235294117647,0.16,0.13912378208223014,6.003578658744694,0.1256934673366834,10
ER,200,4,1.1,0.227,0.18439109725628441,8.286389916363367,0.1302110552763819,10
ER,200,4,1.1411764705882355,0.3335,0.2491059652736829,9.370826779297781,0.13501005025125629,10
ER,200,4,1.1823529411764706,0.453,0.2975660186612671,11.52990586269707,0.1397185929648241,10
ER,200,4,1.223529411764706,0.7304999999999999,0.5247714779250343,8.190037370867056,0.14476884422110553,10
ER,200,4,1.2647058823529413,0.8795,0.6734983823398063,9.261961142581942,0.15053266331658294,10
ER,200,4,1.3058823529411767,0.9289999999999999,0.7254773628434603,8.4658796284368,0.1548040201005025,10
ER,200,4,1.3470588235294119,0.9795,0.8420859759528213,3.270225491379229,0.15952763819095478,10
ER,200,4,1.3882352941176472,0.9879999999999999,0.885535393467574,2.971883713334875,0.16398994974874373,10
ER,200,4,1.4294117647058826,0.9970000000000001,0.9321327262242166,2.1328822664975506,0.16973869346733667,10
ER,200,4,1.470588235294118,0.9970000000000001,0.9413588497089318,2.3596997554680086,0.17215577889447237,10
ER,200,4,1.5117647058823531,0.999,0.9582062680734976,1.8812150861370127,0.17791959798994975,10
ER,200,4,1.5529411764705885,1.0,0.9768013414115971,1.6666935272174634,0.18434170854271356,10
ER,200,4,1.5941176470588239,1.0,0.9814919855831251,1.6804027553914147,0.1874070351758794,10
ER,200,4,1.635294117647059,1.0,0.9887621272282555,1.5102533755553036,0.19294472361809045,10
ER,200,4,1.6764705882352944,1.0,0.9931911054551884,1.3411577857687698,0.20016080402010047,10
ER,200,4,1.7176470588235297,1.0,0.996447081355142,1.233630229419703,0.20495477386934674,10
ER,200,4,1.7588235294117651,1.0,0.9971739583105688,1.1137373737373737,0.20797989949748744,10
ER,200,4,1.8,1.0,0.9984561060016045,1.125769200961017,0.21462311557788943,10
