model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,2000,2,0.0002,0.4,0.00020110055027513756,0.0055,0.024875621890547265,402,2.4183673469387754,0
ER,2000,2,0.00022058823529411765,0.4411764705882353,0.00023261630815407704,0.005,0.01935483870967742,465,2.425438596491228,0
ER,2000,2,0.0002411764705882353,0.4823529411764706,0.00023461730865432717,0.005,0.019189765458422176,469,2.1478260869565218,0
ER,2000,2,0.00026176470588235295,0.5235294117647059,0.0002826413206603302,0.0075,0.024778761061946902,565,3.0326678765880217,0
ER,2000,2,0.0002823529411764706,0.5647058823529412,0.0002801400700350175,0.0075,0.025,560,3.029304029304029,0
ER,2000,2,0.00030294117647058824,0.6058823529411764,0.000304152076038019,0.008,0.024671052631578948,608,4.143338954468803,0
ER,2000,2,0.0003235294117647059,0.6470588235294118,0.0003441720860430215,0.0165,0.046511627906976744,688,5.545731707317073,0
ER,2000,2,0.0003441176470588235,0.6882352941176471,0.00034367183591795897,0.0095,0.026200873362445413,687,4.26457399103139,0
ER,2000,2,0.0003647058823529412,0.7294117647058824,0.00037268634317158577,0.0195,0.05100671140939597,745,4.717114568599717,0
ER,2000,2,0.00038529411764705887,0.7705882352941177,0.00038019009504752376,0.012,0.030263157894736843,760,5.01899592944369,0
ER,2000,2,0.0004058823529411765,0.8117647058823529,0.00039019509754877437,0.0125,0.03076923076923077,780,5.394179894179894,0
ER,2000,2,0.0004264705882352941,0.8529411764705882,0.0004257128564282141,0.025,0.057579318448883664,851,6.236907730673317,0
ER,2000,2,0.00044705882352941183,0.8941176470588237,0.00048024012006003,0.066,0.13645833333333332,960,7.762364294330519,0
ER,2000,2,0.00046764705882352945,0.9352941176470588,0.00047473736868434215,0.0465,0.09694415173867228,949,9.084014002333722,0
ER,2000,2,0.00048823529411764707,0.9764705882352941,0.000502751375687844,0.0675,0.13333333333333333,1005,16.70838117106774,0
ER,2000,2,0.0005088235294117647,1.0176470588235293,0.0005072536268134067,0.0895,0.1765285996055227,1014,14.386826347305389,0
ER,2000,2,0.0005294117647058824,1.0588235294117647,0.0005362681340670335,0.057,0.10727611940298508,1072,35.92789968652038,0
ER,2000,2,0.00055,1.1,0.0005312656328164082,0.212,0.4011299435028249,1062,7.864779874213837,0
ER,2000,2,0.0005705882352941177,1.1411764705882352,0.0005767883941970985,0.069,0.11882046834345186,1153,24.246062992125985,0
ER,2000,2,0.0005911764705882354,1.1823529411764708,0.0005982991495747874,0.346,0.5852842809364549,1196,7.766129032258065,0
ER,2000,2,0.000611764705882353,1.223529411764706,0.0005992996498249125,0.362,0.6118530884808013,1198,6.578494623655914,0
ER,2000,2,0.0006323529411764706,1.2647058823529411,0.0006333166583291646,0.345,0.5529225908372828,1266,15.667844522968197,0
ER,2000,2,0.0006529411764705882,1.3058823529411765,0.0006603301650825413,0.413,0.6416666666666667,1320,7.761099365750528,0
ER,2000,2,0.000673529411764706,1.3470588235294119,0.0007008504252126063,0.5335,0.8029978586723768,1401,4.181159420289855,0
ER,2000,2,0.0006941176470588236,1.3882352941176472,0.0006673336668334167,0.4645,0.7091454272863568,1334,6.634020618556701,0
ER,2000,2,0.0007147058823529412,1.4294117647058824,0.0007263631815907954,0.572,0.8278236914600551,1452,2.888,0
ER,2000,2,0.0007352941176470588,1.4705882352941175,0.0007168584292146073,0.529,0.7690160502442428,1433,9.592145015105741,0
ER,2000,2,0.0007558823529411765,1.5117647058823531,0.0007678839419709855,0.596,0.8325732899022801,1535,3.007782101167315,0
ER,2000,2,0.0007764705882352942,1.5529411764705883,0.0007498749374687344,0.5785,0.8152101400933957,1499,3.851985559566787,0
ER,2000,2,0.0007970588235294118,1.5941176470588234,0.0007953976988494247,0.64,0.8666666666666667,1590,5.367924528301887,0
ER,2000,2,0.0008176470588235294,1.6352941176470588,0.0008084042021010505,0.658,0.8836633663366337,1616,2.851063829787234,0
ER,2000,2,0.0008382352941176471,1.6764705882352942,0.0008254127063531766,0.6635,0.8927272727272727,1650,3.2937853107344632,0
ER,2000,2,0.0008588235294117647,1.7176470588235295,0.0008749374687343672,0.709,0.9079473985134362,1749,2.7888198757763973,0
ER,2000,2,0.0008794117647058824,1.7588235294117647,0.000854927463731866,0.701,0.9139847864248098,1709,2.6462585034013606,0
ER,2000,2,0.0009000000000000001,1.8,0.0008714357178589295,0.722,0.9156142365097589,1742,2.442176870748299,0
ER,2000,2,0.0002,0.4,0.0002036018009004502,0.0065,0.029484029484029485,407,2.0734177215189873,1
ER,2000,2,0.00022058823529411765,0.4411764705882353,0.0002286143071535768,0.0045,0.0175054704595186,457,2.6391982182628064,1
ER,2000,2,0.0002411764705882353,0.4823529411764706,0.0002481240620310155,0.007,0.02620967741935484,496,2.780538302277433,1
ER,2000,2,0.00026176470588235295,0.5235294117647059,0.0002816408204102051,0.008,0.02664298401420959,563,3.2737226277372264,1
ER,2000,2,0.0002823529411764706,0.5647058823529412,0.0002686343171585793,0.006,0.020484171322160148,537,2.88212927756654,1
ER,2000,2,0.00030294117647058824,0.6058823529411764,0.0003076538269134567,0.009,0.027642276422764227,615,3.4046822742474916,1
ER,2000,2,0.0003235294117647059,0.6470588235294118,0.00032866433216608305,0.0125,0.0365296803652968,657,4.924170616113744,1
ER,2000,2,0.0003441176470588235,0.6882352941176471,0.00032716358179089546,0.0125,0.03669724770642202,654,3.8857142857142857,1
ER,2000,2,0.0003647058823529412,0.7294117647058824,0.0003566783391695848,0.0095,0.025245441795231416,713,4.694964028776979,1
ER,2000,2,0.00038529411764705887,0.7705882352941177,0.00036018009004502253,0.0075,0.019444444444444445,720,4.073654390934844,1
ER,2000,2,0.0004058823529411765,0.8117647058823529,0.00042671335667833916,0.0425,0.0984759671746776,853,7.790637191157347,1
ER,2000,2,0.0004264705882352941,0.8529411764705882,0.00044672336168084044,0.0385,0.0851063829787234,893,10.275397796817625,1
ER,2000,2,0.00044705882352941183,0.8941176470588237,0.0004422211105552776,0.0225,0.049773755656108594,884,8.65952380952381,1
ER,2000,2,0.00046764705882352945,0.9352941176470588,0.00045072536268134065,0.0345,0.07547169811320754,901,11.201680672268907,1
ER,2000,2,0.00048823529411764707,0.9764705882352941,0.000495247623811906,0.0955,0.19292929292929292,990,10.27659574468085,1
ER,2000,2,0.0005088235294117647,1.0176470588235293,0.00051975987993997,0.117,0.2252165543792108,1039,18.51055900621118,1
ER,2000,2,0.0005294117647058824,1.0588235294117647,0.0005367683841920961,0.0825,0.15377446411929171,1073,14.656387665198238,1
ER,2000,2,0.00055,1.1,0.0005792896448224112,0.204,0.3531951640759931,1158,14.514018691588785,1
ER,2000,2,0.0005705882352941177,1.1411764705882352,0.0005657828914457228,0.1585,0.28116710875331563,1131,25.73308733087331,1
ER,2000,2,0.0005911764705882354,1.1823529411764708,0.0006033016508254128,0.2985,0.49917081260364843,1206,11.350993377483444,1
ER,2000,2,0.000611764705882353,1.223529411764706,0.0005887943971985993,0.303,0.5199660152931181,1177,8.780530973451327,1
ER,2000,2,0.0006323529411764706,1.2647058823529411,0.0006218109054527263,0.2415,0.39501206757843926,1243,26.101063829787233,1
ER,2000,2,0.0006529411764705882,1.3058823529411765,0.0006608304152076038,0.4395,0.6858440575321726,1321,7.390361445783133,1
ER,2000,2,0.000673529411764706,1.3470588235294119,0.000680840420210105,0.46,0.6987509184423218,1361,6.985365853658537,1
ER,2000,2,0.0006941176470588236,1.3882352941176472,0.0007048524262131065,0.5075,0.7551454932576295,1409,4.136231884057971,1
ER,2000,2,0.0007147058823529412,1.4294117647058824,0.0007058529264632316,0.52,0.7647058823529411,1411,6.644578313253012,1
ER,2000,2,0.0007352941176470588,1.4705882352941175,0.0007183591795897949,0.5205,0.7681058495821727,1436,4.831831831831832,1
ER,2000,2,0.0007558823529411765,1.5117647058823531,0.0007628814407203601,0.594,0.8275409836065574,1525,3.958174904942966,1
ER,2000,2,0.0007764705882352942,1.5529411764705883,0.000784392196098049,0.636,0.8705357142857143,1568,4.152709359605911,1
