model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,200,4,0.04742524405986751,0.4,0.050452261306532666,0.0,0.0,0,0.0,0
ER,200,4,0.05230725447779505,0.44117647058823534,0.05306532663316583,0.0,0.0,0,0.0,0
ER,200,4,0.05718926489572259,0.4823529411764706,0.0550251256281407,0.0,0.0,0,0.0,0
ER,200,4,0.06207127531365013,0.5235294117647059,0.06175879396984925,0.02,0.25,4,1.0,0
ER,200,4,0.06695328573157766,0.5647058823529412,0.06271356783919597,0.02,0.3333333333333333,3,1.0,0
ER,200,4,0.0718352961495052,0.6058823529411765,0.07080402010050252,0.025,0.25,8,1.0,0
ER,200,4,0.07671730656743275,0.6470588235294119,0.07517587939698492,0.02,0.16666666666666666,6,1.0,0
ER,200,4,0.08159931698536028,0.6882352941176472,0.08396984924623116,0.03,0.10714285714285714,28,1.32,0
ER,200,4,0.08648132740328782,0.7294117647058824,0.08346733668341709,0.02,0.0625,16,1.0,0
ER,200,4,0.09136333782121536,0.7705882352941177,0.0892462311557789,0.03,0.12,25,1.4545454545454546,0
ER,200,4,0.09624534823914291,0.811764705882353,0.09879396984924622,0.035,0.09090909090909091,44,1.55,0
ER,200,4,0.10112735865707044,0.8529411764705883,0.10321608040201005,0.045,0.07792207792207792,77,1.5070422535211268,0
ER,200,4,0.10600936907499797,0.8941176470588236,0.10547738693467337,0.045,0.08045977011494253,87,2.025,0
ER,200,4,0.11089137949292552,0.9352941176470589,0.11346733668341709,0.065,0.0873015873015873,126,2.008695652173913,0
ER,200,4,0.11577338991085306,0.9764705882352943,0.11603015075376884,0.04,0.08333333333333333,132,3.4132231404958677,0
ER,200,4,0.12065540032878058,1.0176470588235293,0.12371859296482413,0.13,0.125,216,3.2222222222222223,0
ER,200,4,0.12553741074670813,1.0588235294117647,0.12412060301507538,0.125,0.11320754716981132,212,3.404255319148936,0
ER,200,4,0.13041942116463567,1.1,0.13311557788944722,0.225,0.21476510067114093,298,5.256410256410256,0
ER,200,4,0.13530143158256322,1.1411764705882355,0.1322110552763819,0.155,0.09120521172638436,307,6.053763440860215,0
ER,200,4,0.14018344200049074,1.1823529411764706,0.1434170854271357,0.67,0.4990403071017274,521,5.597701149425287,0
ER,200,4,0.14506545241841828,1.223529411764706,0.14412060301507537,0.645,0.3882783882783883,546,9.137724550898204,0
ER,200,4,0.14994746283634583,1.2647058823529413,0.14899497487437185,0.905,0.6979166666666666,768,4.75,0
ER,200,4,0.15482947325427338,1.3058823529411767,0.15829145728643215,0.975,0.8486905916585838,1031,3.5256410256410255,0
ER,200,4,0.1597114836722009,1.3470588235294119,0.15939698492462312,0.99,0.893344709897611,1172,2.136,0
ER,200,4,0.16459349409012844,1.3882352941176472,0.1658291457286432,1.0,0.9287169042769857,1473,2.6952380952380954,0
ER,200,4,0.16947550450805599,1.4294117647058826,0.1679899497487437,1.0,0.9006928406466512,1299,2.7829457364341086,0
ER,200,4,0.17435751492598353,1.470588235294118,0.17221105527638192,0.995,0.9565982404692082,1705,1.837837837837838,0
ER,200,4,0.17923952534391105,1.5117647058823531,0.1800502512562814,1.0,0.9689849624060151,2128,1.6363636363636365,0
ER,200,4,0.1841215357618386,1.5529411764705885,0.1822110552763819,1.0,0.9795474325500435,2298,1.3404255319148937,0
ER,200,4,0.18900354617976614,1.5941176470588239,0.19045226130653267,1.0,0.9908196721311475,3050,1.1428571428571428,0
