model,N,p,p_over_pc,S,replicate
ER_classic,300,0.002,0.6,0.023333333333333334,0
ER_classic,300,0.00207843137254902,0.6235294117647059,0.04,0
ER_classic,300,0.002156862745098039,0.6470588235294117,0.043333333333333335,0
ER_classic,300,0.002235294117647059,0.6705882352941176,0.06,0
ER_classic,300,0.0023137254901960786,0.6941176470588235,0.02,0
ER_classic,300,0.0023921568627450983,0.7176470588235294,0.04,0
ER_classic,300,0.0024705882352941176,0.7411764705882352,0.06,0
ER_classic,300,0.0025490196078431374,0.7647058823529411,0.04,0
ER_classic,300,0.002627450980392157,0.7882352941176471,0.05,0
ER_classic,300,0.002705882352941177,0.811764705882353,0.05,0
ER_classic,300,0.002784313725490196,0.8352941176470589,0.03666666666666667,0
ER_classic,300,0.002862745098039216,0.8588235294117648,0.04666666666666667,0
ER_classic,300,0.0029411764705882353,0.8823529411764706,0.09,0
ER_classic,300,0.003019607843137255,0.9058823529411765,0.09333333333333334,0
ER_classic,300,0.0030980392156862747,0.9294117647058824,0.13333333333333333,0
ER_classic,300,0.0031764705882352945,0.9529411764705883,0.09333333333333334,0
ER_classic,300,0.0032549019607843142,0.9764705882352942,0.06666666666666667,0
ER_classic,300,0.0033333333333333335,1.0,0.08333333333333333,0
ER_classic,300,0.0034117647058823533,1.023529411764706,0.3233333333333333,0
ER_classic,300,0.0034901960784313726,1.0470588235294118,0.34,0
ER_classic,300,0.0035686274509803924,1.0705882352941176,0.10333333333333333,0
ER_classic,300,0.003647058823529412,1.0941176470588236,0.46,0
ER_classic,300,0.003725490196078432,1.1176470588235294,0.2733333333333333,0
ER_classic,300,0.0038039215686274516,1.1411764705882355,0.34,0
ER_classic,300,0.003882352941176471,1.1647058823529413,0.08,0
ER_classic,300,0.00396078431372549,1.188235294117647,0.14666666666666667,0
ER_classic,300,0.00403921568627451,1.2117647058823529,0.38333333333333336,0
ER_classic,300,0.00411764705882353,1.2352941176470589,0.45666666666666667,0
ER_classic,300,0.0041960784313725494,1.2588235294117647,0.3933333333333333,0
ER_classic,300,0.004274509803921569,1.2823529411764707,0.4266666666666667,0
ER_classic,300,0.004352941176470589,1.3058823529411765,0.19666666666666666,0
ER_classic,300,0.004431372549019609,1.3294117647058825,0.22,0
ER_classic,300,0.004509803921568628,1.3529411764705885,0.57,0
ER_classic,300,0.004588235294117648,1.3764705882352943,0.55,0
ER_classic,300,0.004666666666666667,1.4000000000000001,0.5666666666666667,0
ER_classic,300,0.002,0.6,0.023333333333333334,1
ER_classic,300,0.00207843137254902,0.6235294117647059,0.02666666666666667,1
ER_classic,300,0.002156862745098039,0.6470588235294117,0.02666666666666667,1
ER_classic,300,0.002235294117647059,0.6705882352941176,0.03666666666666667,1
ER_classic,300,0.0023137254901960786,0.6941176470588235,0.05333333333333334,1
ER_classic,300,0.0023921568627450983,0.7176470588235294,0.043333333333333335,1
ER_classic,300,0.0024705882352941176,0.7411764705882352,0.04666666666666667,1
ER_classic,300,0.0025490196078431374,0.7647058823529411,0.02666666666666667,1
ER_classic,300,0.002627450980392157,0.7882352941176471,0.05,1
ER_classic,300,0.002705882352941177,0.811764705882353,0.04666666666666667,1
ER_classic,300,0.002784313725490196,0.8352941176470589,0.07,1
ER_classic,300,0.002862745098039216,0.8588235294117648,0.16,1
ER_classic,300,0.0029411764705882353,0.8823529411764706,0.12333333333333334,1
ER_classic,300,0.003019607843137255,0.9058823529411765,0.07,1
ER_classic,300,0.0030980392156862747,0.9294117647058824,0.07,1
ER_classic,300,0.0031764705882352945,0.9529411764705883,0.08333333333333333,1
ER_classic,300,0.0032549019607843142,0.9764705882352942,0.17,1
ER_classic,300,0.0033333333333333335,1.0,0.06,1
ER_classic,300,0.0034117647058823533,1.023529411764706,0.3,1
ER_classic,300,0.0034901960784313726,1.0470588235294118,0.22333333333333333,1
ER_classic,300,0.0035686274509803924,1.0705882352941176,0.24333333333333335,1
ER_classic,300,0.003647058823529412,1.0941176470588236,0.36333333333333334,1
ER_classic,300,0.003725490196078432,1.1176470588235294,0.22666666666666666,1
ER_classic,300,0.0038039215686274516,1.1411764705882355,0.44,1
ER_classic,300,0.003882352941176471,1.1647058823529413,0.3233333333333333,1
