model,N,k,p_over_pc,Phi_mean,Psi_mean,chi_mean,p_eff_mean,n_reps
ER,100,3,0.4,0.033,0.3688095238095238,0.9800000000000001,0.02911111111111111,10
ER,100,3,0.44117647058823534,0.033,0.35845238095238097,0.9400000000000001,0.03088888888888889,10
ER,100,3,0.4823529411764706,0.037,0.2930735930735931,1.0,0.0344040404040404,10
ER,100,3,0.5235294117647059,0.044,0.2598943213649096,1.1723232323232324,0.03672727272727273,10
ER,100,3,0.5647058823529413,0.04,0.1931768231768232,1.1416783216783215,0.039414141414141415,10
ER,100,3,0.6058823529411765,0.049,0.2184227537168714,1.2047979797979798,0.04387878787878788,10
ER,100,3,0.6470588235294118,0.044,0.19233709273182958,1.2871969696969696,0.045111111111111116,10
ER,100,3,0.6882352941176472,0.061,0.23929311916154022,1.5006268293110399,0.04933333333333333,10
ER,100,3,0.7294117647058823,0.059,0.1864643240122617,1.4542063758330626,0.05135353535353535,10
ER,100,3,0.7705882352941177,0.05900000000000001,0.15511802627958327,1.7092115530825207,0.05442424242424242,10
ER,100,3,0.8117647058823529,0.069,0.18668030420851753,1.8326713291705794,0.05674747474747475,10
ER,100,3,0.8529411764705882,0.088,0.18143606864002715,1.8841233766233767,0.06137373737373738,10
ER,100,3,0.8941176470588236,0.088,0.1736190694947872,2.188193184484983,0.06266666666666668,10
ER,100,3,0.9352941176470587,0.11100000000000002,0.21509485950859233,2.701749590621441,0.06686868686868687,10
ER,100,3,0.9764705882352941,0.10600000000000001,0.19314783324773943,2.6719817436161932,0.06858585858585858,10
ER,100,3,1.0176470588235296,0.11600000000000002,0.19915969595023986,2.916163840155441,0.07105050505050506,10
ER,100,3,1.0588235294117647,0.16899999999999998,0.25968533798754856,3.0474851569539165,0.07290909090909091,10
ER,100,3,1.1,0.188,0.25258446068657736,5.178559541596673,0.07628282828282829,10
ER,100,3,1.1411764705882352,0.306,0.4009917908536297,5.62809824104467,0.07953535353535354,10
ER,100,3,1.1823529411764706,0.302,0.35762569800750044,5.236134857965844,0.08262626262626263,10
ER,100,3,1.223529411764706,0.346,0.3949671385313097,6.075461337785498,0.08565656565656565,10
ER,100,3,1.2647058823529411,0.552,0.5761188252852449,7.508787387426937,0.09141414141414142,10
ER,100,3,1.3058823529411765,0.45999999999999996,0.48633945779152843,6.502473483455157,0.09151515151515152,10
ER,100,3,1.3470588235294116,0.625,0.6532623322516915,6.114603658915364,0.09525252525252526,10
ER,100,3,1.388235294117647,0.738,0.7606991010006697,4.360572743652638,0.09921212121212121,10
ER,100,3,1.4294117647058824,0.755,0.7495909697756303,3.337565578719711,0.10135353535353535,10
ER,100,3,1.4705882352941175,0.817,0.8321338914963095,2.7913660810309118,0.10321212121212123,10
ER,100,3,1.511764705882353,0.808,0.8112254370726386,4.003440157272257,0.10228282828282828,10
ER,100,3,1.5529411764705883,0.853,0.8483945670609423,4.742624877736935,0.10979797979797981,10
ER,100,3,1.5941176470588234,0.932,0.9394271890744484,1.942912087912088,0.11274747474747475,10
ER,100,3,1.6352941176470588,0.958,0.9632513748829178,1.3842451665981077,0.11545454545454545,10
ER,100,3,1.676470588235294,0.9709999999999999,0.9675937347546325,1.6911111111111112,0.12278787878787881,10
ER,100,3,1.7176470588235293,0.962,0.9704172038480398,1.5924603174603174,0.12070707070707072,10
ER,100,3,1.7588235294117647,0.9789999999999999,0.974064188435144,1.7117139001349528,0.1251919191919192,10
ER,100,3,1.7999999999999998,0.9879999999999999,0.9806532582265406,1.57194423223835,0.12896969696969698,10
