N,Psi_c_mean,Psi_c_std,n_reps
100,0.19658318336345396,0.06835210449564007,10
200,0.16975991166519616,0.06394382845413811,10
500,0.08421245304832192,0.025322170355797764,10
1000,0.057667155741591036,0.017377904575169786,10
2000,0.04154457004051916,0.015250110652285181,10
