model,N,k,p_over_pc,Phi_mean,Psi_mean,chi_mean,p_eff_mean,n_reps
ER,2000,3,0.4,0.003,0.013423342517180466,1.2545180442150694,0.006337418709354678,10
ER,2000,3,0.44117647058823534,0.0033,0.009989942421411793,1.3457806450347647,0.007000850425212607,10
ER,2000,3,0.48235294117647065,0.00335,0.008047575224800835,1.399142788410344,0.007645822911455729,10
ER,2000,3,0.5235294117647059,0.00415,0.008590503017913764,1.5262160087501841,0.008255477738869435,10
ER,2000,3,0.5647058823529412,0.0046,0.007612138861369133,1.6726088008339564,0.008907703851925963,10
ER,2000,3,0.6058823529411764,0.00505,0.007218452969694425,1.8158699362275734,0.00954992496248124,10
ER,2000,3,0.6470588235294118,0.006,0.007308026343067759,1.9674059283232352,0.010204452226113056,10
ER,2000,3,0.6882352941176472,0.007299999999999999,0.007542545769615652,2.2699345048756987,0.01086743371685843,10
ER,2000,3,0.7294117647058823,0.00925,0.00817819692491789,2.5561131264288544,0.011521510755377688,10
ER,2000,3,0.7705882352941177,0.0104,0.007820572289910493,2.922387925884383,0.012186343171585793,10
ER,2000,3,0.8117647058823528,0.0144,0.009752898904469861,3.5382175825419124,0.012854127063531767,10
ER,2000,3,0.8529411764705882,0.02015,0.012159314391036449,4.432523599519746,0.013457178589294646,10
ER,2000,3,0.8941176470588237,0.033350000000000005,0.018126787096041812,5.4097303070861535,0.014109804902451225,10
ER,2000,3,0.9352941176470588,0.042100000000000005,0.019937168434979693,7.702116186318269,0.014756928464232117,10
ER,2000,3,0.9764705882352942,0.06515,0.027814130769671562,10.372400626558209,0.015433616808404202,10
ER,2000,3,1.0176470588235293,0.12995,0.051842399493654864,17.773526312506895,0.01604282141070535,10
ER,2000,3,1.0588235294117647,0.3933,0.15981420686076148,24.48557671229552,0.016732516258129066,10
ER,2000,3,1.0999999999999999,0.74915,0.3730240191626051,12.183434368086832,0.017424962481240622,10
ER,2000,3,1.1411764705882352,0.8774,0.49625536397654074,6.8252855295677675,0.01808049024512256,10
ER,2000,3,1.1823529411764704,0.9498,0.6050619623966389,5.5191861792857235,0.01871855927963982,10
ER,2000,3,1.2235294117647058,0.9773,0.690495928264451,4.588466659299812,0.019307303651825914,10
ER,2000,3,1.2647058823529413,0.9919499999999999,0.7566301194467794,3.6206392955304616,0.020033216608304153,10
ER,2000,3,1.3058823529411765,0.9958500000000001,0.8085575552263536,3.2023787986846712,0.020671985992996498,10
ER,2000,3,1.3470588235294119,0.9984999999999999,0.8459231093879573,2.848850668757369,0.02127693846923462,10
ER,2000,3,1.3882352941176472,0.9990500000000001,0.8755394001027987,2.507562482666216,0.02191505752876438,10
ER,2000,3,1.4294117647058824,0.99985,0.9053168176940549,2.184686343537263,0.022655977988994498,10
ER,2000,3,1.4705882352941178,0.9999499999999999,0.9261367546702577,1.9902702667723648,0.023243421710855427,10
ER,2000,3,1.511764705882353,1.0,0.9392901612577385,1.8955581480921846,0.02387948974487244,10
ER,2000,3,1.5529411764705883,1.0,0.953788583055902,1.742370584826288,0.024594497248624312,10
ER,2000,3,1.5941176470588234,1.0,0.9638687919525589,1.6399074159923686,0.02520135067533767,10
ER,2000,3,1.6352941176470588,1.0,0.9704596135691519,1.566628357243602,0.02584507253626813,10
ER,2000,3,1.676470588235294,1.0,0.9759752442663869,1.5166357871803324,0.02644272136068034,10
ER,2000,3,1.7176470588235293,1.0,0.9825316446394832,1.4045856516830588,0.027179539769884943,10
ER,2000,3,1.758823529411765,1.0,0.9849112199991282,1.372450225161159,0.02776873436718359,10
ER,2000,3,1.8,1.0,0.9890230243342237,1.3456859843866276,0.02847493746873437,10
