model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,200,3,0.020000000000000004,0.4000000000000001,0.022010050251256283,0.015,0.07692307692307693,13,1.0,0
ER,200,3,0.02205882352941177,0.4411764705882354,0.021758793969849245,0.02,0.25,8,1.3333333333333333,0
ER,200,3,0.024117647058823535,0.4823529411764707,0.023417085427135678,0.02,0.25,8,1.0,0
ER,200,3,0.026176470588235298,0.5235294117647059,0.0264321608040201,0.02,0.10526315789473684,19,1.2352941176470589,0
ER,200,3,0.028235294117647063,0.5647058823529413,0.027336683417085426,0.02,0.09090909090909091,22,1.5,0
ER,200,3,0.03029411764705883,0.6058823529411765,0.0307035175879397,0.035,0.1388888888888889,36,1.3225806451612903,0
ER,200,3,0.03235294117647059,0.6470588235294118,0.03175879396984924,0.035,0.11627906976744186,43,1.9473684210526316,0
ER,200,3,0.03441176470588236,0.6882352941176471,0.03562814070351759,0.045,0.1206896551724138,58,1.7843137254901962,0
ER,200,3,0.03647058823529412,0.7294117647058824,0.035326633165829145,0.025,0.05555555555555555,54,1.392156862745098,0
ER,200,3,0.03852941176470589,0.7705882352941177,0.039246231155778896,0.03,0.05405405405405406,74,2.2857142857142856,0
ER,200,3,0.040588235294117654,0.811764705882353,0.043266331658291454,0.08,0.1590909090909091,88,2.027027027027027,0
ER,200,3,0.04264705882352941,0.8529411764705882,0.04281407035175879,0.05,0.08163265306122448,98,3.977777777777778,0
ER,200,3,0.04470588235294118,0.8941176470588236,0.04542713567839196,0.05,0.07547169811320754,106,3.7551020408163267,0
ER,200,3,0.046764705882352944,0.9352941176470588,0.04814070351758794,0.07,0.08333333333333333,156,4.636363636363637,0
ER,200,3,0.04882352941176471,0.9764705882352942,0.04904522613065326,0.12,0.14193548387096774,155,3.0902255639097747,0
ER,200,3,0.050882352941176476,1.0176470588235293,0.051608040201005026,0.205,0.24157303370786518,178,4.0962962962962965,0
ER,200,3,0.05294117647058824,1.0588235294117647,0.05236180904522613,0.16,0.16230366492146597,191,5.7,0
ER,200,3,0.05500000000000001,1.1,0.056381909547738696,0.28,0.2723404255319149,235,8.12280701754386,0
ER,200,3,0.05705882352941177,1.1411764705882355,0.05793969849246231,0.22,0.20080321285140562,249,13.391959798994975,0
ER,200,3,0.05911764705882354,1.1823529411764706,0.061507537688442214,0.725,0.7049689440993789,322,5.147368421052631,0
ER,200,3,0.061176470588235304,1.223529411764706,0.060402010050251254,0.545,0.6,270,4.12962962962963,0
ER,200,3,0.06323529411764706,1.2647058823529411,0.06160804020100503,0.655,0.5538461538461539,325,7.137931034482759,0
ER,200,3,0.06529411764705884,1.3058823529411767,0.06773869346733669,0.865,0.8459715639810427,422,3.7384615384615385,0
ER,200,3,0.06735294117647059,1.3470588235294116,0.06728643216080402,0.82,0.7737789203084833,389,6.75,0
ER,200,3,0.06941176470588237,1.3882352941176472,0.07055276381909548,0.94,0.8970873786407767,515,2.6226415094339623,0
ER,200,3,0.07147058823529412,1.4294117647058824,0.07226130653266331,0.87,0.8300395256916996,506,3.558139534883721,0
ER,200,3,0.0735294117647059,1.470588235294118,0.07296482412060301,0.94,0.9400749063670412,534,1.6875,0
ER,200,3,0.07558823529411765,1.511764705882353,0.0743718592964824,0.945,0.9052823315118397,549,1.8076923076923077,0
ER,200,3,0.07764705882352942,1.5529411764705883,0.07512562814070352,0.95,0.9203389830508475,590,1.553191489361702,0
ER,200,3,0.07970588235294118,1.5941176470588236,0.08125628140703517,0.985,0.9563253012048193,664,1.4137931034482758,0
ER,200,3,0.08176470588235295,1.6352941176470588,0.08050251256281407,0.995,0.9684065934065934,728,1.173913043478261,0
ER,200,3,0.08382352941176471,1.6764705882352942,0.08251256281407035,0.985,0.9695364238410596,755,1.608695652173913,0
ER,200,3,0.08588235294117648,1.7176470588235295,0.08608040201005025,0.99,0.9711538461538461,832,1.5833333333333333,0
ER,200,3,0.08794117647058824,1.758823529411765,0.08944723618090453,1.0,0.9862340216322517,1017,1.2857142857142858,0
ER,200,3,0.09000000000000001,1.8,0.08658291457286432,1.0,0.9907192575406032,862,1.25,0
ER,200,3,0.020000000000000004,0.4000000000000001,0.019145728643216082,0.015,0.3333333333333333,3,1.0,1
ER,200,3,0.02205882352941177,0.4411764705882354,0.020904522613065326,0.015,0.16666666666666666,6,1.0,1
ER,200,3,0.024117647058823535,0.4823529411764707,0.023618090452261306,0.025,0.13043478260869565,23,1.1,1
ER,200,3,0.026176470588235298,0.5235294117647059,0.02477386934673367,0.02,0.125,16,1.0,1
ER,200,3,0.028235294117647063,0.5647058823529413,0.028592964824120604,0.025,0.10714285714285714,28,1.48,1
ER,200,3,0.03029411764705883,0.6058823529411765,0.03256281407035176,0.025,0.061224489795918366,49,1.3478260869565217,1
ER,200,3,0.03235294117647059,0.6470588235294118,0.032814070351758796,0.025,0.08823529411764706,34,1.3870967741935485,1
ER,200,3,0.03441176470588236,0.6882352941176471,0.034170854271356785,0.03,0.06451612903225806,62,2.1724137931034484,1
