N,Psi_c_mean,Psi_c_std,n_reps
100,0.21615579092956091,0.041471533739983024,10
200,0.10507017478877298,0.021880557663029137,10
500,0.04205551800790092,0.011482142049227541,10
1000,0.019055679317679305,0.011250539081338986,10
2000,0.010343336348852492,0.005726719940228703,10
