model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,1000,4,0.027734450974025396,0.4,0.027785785785785787,0.004,0.07142857142857142,14,1.0,0
ER,1000,4,0.030589467986057422,0.44117647058823534,0.030392392392392394,0.005,0.13513513513513514,37,1.0,0
ER,1000,4,0.03344448499808945,0.48235294117647065,0.03294094094094094,0.004,0.023255813953488372,43,1.0,0
ER,1000,4,0.03629950201012147,0.5235294117647059,0.03659059059059059,0.006,0.0379746835443038,79,1.0789473684210527,0
ER,1000,4,0.0391545190221535,0.5647058823529413,0.03925525525525526,0.006,0.022222222222222223,135,1.1666666666666667,0
ER,1000,4,0.04200953603418553,0.6058823529411765,0.041461461461461464,0.006,0.027906976744186046,215,1.3349282296650717,0
ER,1000,4,0.04486455304621755,0.6470588235294118,0.044886886886886884,0.011,0.023054755043227664,347,1.3539823008849559,0
ER,1000,4,0.047719570058249575,0.6882352941176471,0.04786386386386386,0.009,0.013303769401330377,451,1.5707865168539326,0
ER,1000,4,0.050574587070281604,0.7294117647058824,0.05070470470470471,0.007,0.009695290858725761,722,1.7944055944055943,0
ER,1000,4,0.053429604082313634,0.7705882352941178,0.05339339339339339,0.015,0.012725344644750796,943,2.0998925886143933,0
ER,1000,4,0.056284621094345656,0.811764705882353,0.05637437437437438,0.01,0.007199424046076314,1389,2.369108049311095,0
ER,1000,4,0.05913963810637768,0.8529411764705883,0.05954354354354354,0.016,0.007340485601355167,1771,2.496018202502844,0
ER,1000,4,0.06199465511840971,0.8941176470588236,0.06155955955955956,0.018,0.006432246998284734,2332,3.0552438498057835,0
ER,1000,4,0.06484967213044174,0.9352941176470589,0.06526326326326326,0.029,0.009398496240601503,3192,4.001897533206831,0
ER,1000,4,0.06770468914247377,0.9764705882352943,0.06777577577577577,0.04,0.011005886869721013,3907,6.0398550724637685,0
ER,1000,4,0.07055970615450578,1.0176470588235296,0.07054254254254254,0.079,0.01817455562212902,5007,11.310414971521562,0
ER,1000,4,0.07341472316653781,1.0588235294117647,0.07337337337337338,0.266,0.05406654343807763,6492,16.266568962709655,0
ER,1000,4,0.07626974017856984,1.1,0.07665265265265266,0.845,0.2605959871779651,8423,25.48843930635838,0
ER,1000,4,0.07912475719060186,1.1411764705882352,0.07881281281281281,0.964,0.3677525097316124,9762,12.352235904082955,0
ER,1000,4,0.08197977420263389,1.1823529411764706,0.0814074074074074,0.998,0.6522861059591969,12401,5.4434137291280145,0
ER,1000,4,0.08483479121466592,1.223529411764706,0.08507907907907908,1.0,0.7485865058424426,15918,3.5152423788105946,0
ER,1000,4,0.08768980822669795,1.2647058823529413,0.08728728728728728,1.0,0.8117704810734155,18334,3.14082874529122,0
ER,1000,4,0.09054482523872996,1.3058823529411765,0.09026426426426426,1.0,0.8548061841810441,22315,2.891358024691358,0
ER,1000,4,0.09339984225076199,1.3470588235294119,0.09361361361361362,1.0,0.9185446260101819,28089,1.854020979020979,0
ER,1000,4,0.09625485926279402,1.3882352941176472,0.09583583583583584,1.0,0.930690616289873,32290,1.937444146559428,0
