size_kcliques,count
31,3
2,335
24,2
1,1188
4,74
3,157
56,1
9,12
5,48
11,8
67,1
520,1
26,2
6,27
137,1
20,2
17,6
8,15
7,15
22,2
30,1
12,4
35,1
68,1
21,2
16,4
13,6
41,1
28,2
25,2
18,3
10,4
49,1
19,2
39,1
36,1
33,1
69,1
15,1
61,1
14,2
