n_nodes,n_edges,components,giant_comp_size,avg_strength,avg_clustering,betweenness_avg,betweenness_max,total_sci,country_ISO3
15,105,1,15,33816803.2,0.17771876347623033,0.002197802197802198,0.01098901098901099,253626024.0,TTO
15,105,1,15,607384.0,0.1567052488129663,0.014652014652014654,0.17582417582417584,4555380.0,MMR
15,105,1,15,3596109.6,0.16491104323775094,0.0036630036630036634,0.02197802197802198,26970822.0,NZL
15,105,1,15,634307.7333333333,0.09165721682183459,0.0014652014652014654,0.01098901098901099,4757308.0,MAR
14,91,1,14,5174369.142857143,0.1486104944237371,0.0018315018315018315,0.02564102564102564,36220584.0,SEN
14,91,1,14,644767.4285714285,0.24358677411566557,0.014652014652014652,0.20512820512820512,4513372.0,KAZ
14,91,1,14,73754276.57142857,0.11551999927159638,0.004578754578754578,0.05128205128205128,516279936.0,LBR
14,91,1,14,3552660.285714286,0.3937068776290732,0.0,0.0,24868622.0,CIV
14,91,1,14,1247527.7142857143,0.2347236159310888,0.0,0.0,8732694.0,UZB
14,91,1,14,2485622.285714286,0.12176215927560716,0.008241758241758242,0.05128205128205128,17399356.0,SLV
14,91,1,14,994366.5714285715,0.2153954450394922,0.005494505494505494,0.01282051282051282,6960566.0,CZE
14,91,1,14,16836868.85714286,0.21367745112500924,0.003663003663003663,0.01282051282051282,117858082.0,JAM
14,91,1,14,128049420.57142857,0.11311135338963305,0.020146520146520148,0.10256410256410256,896345944.0,CAF
13,78,1,13,4765700.615384615,0.004800912686235651,0.04312354312354313,0.21212121212121213,30977054.0,IND
13,78,1,13,328525.8461538461,0.37668739893078124,0.0,0.0,2135418.0,SAU
13,78,1,13,34717852.307692304,0.31290970860251893,0.0011655011655011655,0.015151515151515152,225666040.0,MRT
13,78,1,13,11542849.538461538,0.4235688903391054,0.0,0.0,75028522.0,BFA
13,78,1,13,49830685.23076923,0.2897318205254482,0.0,0.0,323899454.0,NAM
12,66,1,12,3103327.0,0.17524159921295038,0.04242424242424242,0.4727272727272727,18619962.0,ALB
12,66,1,12,45398647.333333336,0.11946832473433178,0.00909090909090909,0.10909090909090909,272391884.0,COG
12,66,1,12,9228397.666666666,0.06385552158766471,0.013636363636363636,0.12727272727272726,55370386.0,PAN
12,66,1,12,3994649.0,0.23290703311697178,0.013636363636363636,0.12727272727272726,23967894.0,GEO
12,66,1,12,8915107.666666666,0.20104144444800856,0.00909090909090909,0.07272727272727272,53490646.0,BEN
12,66,1,12,11406152.666666666,0.22244635705113905,0.0015151515151515152,0.01818181818181818,68436916.0,SVN
12,66,1,12,4632655.666666667,0.07950064514303734,0.013636363636363636,0.05454545454545454,27795934.0,JOR
11,55,1,11,2973443.272727273,0.11042602338473442,0.01616161616161616,0.13333333333333333,16353938.0,ETH
11,55,1,11,6091851.2727272725,0.3544388411163437,0.0,0.0,33505182.0,MOZ
11,55,1,11,2392087.272727273,0.27330875944573224,0.00202020202020202,0.022222222222222223,13156480.0,DNK
11,55,1,11,1230116.0,0.3743432916831736,0.0,0.0,6765638.0,OMN
11,55,1,11,1183393.0909090908,0.08225876904750375,0.03434343434343434,0.15555555555555556,6508662.0,BGD
11,55,1,11,3515561.090909091,0.5216902255070043,0.0,0.0,19335586.0,ARM
10,45,1,10,17303130.8,0.36804408976191616,0.0,0.0,86515654.0,LSO
10,45,1,10,10526747.2,0.24774985221696505,0.0,0.0,52633736.0,ZMB
10,45,1,10,3871853.6,0.28872912163983633,0.0,0.0,19359268.0,HTI
10,45,1,10,4071705.2,0.22548719633964528,0.0,0.0,20358526.0,CMR
10,45,1,10,3460868.4,0.01977885925671748,0.02222222222222222,0.2222222222222222,17304342.0,AZE
10,45,1,10,7916774.8,0.3492625019287748,0.0,0.0,39583874.0,ZWE
10,45,1,10,134891330.0,0.3275525251592738,0.0,0.0,674456650.0,TLS
10,45,1,10,21861856.4,0.41422983870112134,0.0,0.0,109309282.0,MUS
10,45,1,10,3316566.8,0.4018526979497872,0.0,0.0,16582834.0,LTU
9,36,1,9,54226247.55555555,0.22341805694454678,0.0,0.0,244018114.0,GNB
