nodeID,nodeLabel,latitude,longitude
1845,LSO.10_1,-29.508785246999963,28.5118746890479
1846,LSO.1_1,-29.17146015149993,27.90510101712452
1847,LSO.2_1,-28.828761099999923,28.56898413457104
1848,LSO.3_1,-29.03214550049998,28.28313809591326
1849,LSO.4_1,-29.791020982999896,27.407761478534898
1850,LSO.5_1,-29.604175567999903,27.77863725305324
1851,LSO.6_1,-30.102375030999923,27.61240941911487
1852,LSO.7_1,-29.168609618999938,28.996041552972333
1853,LSO.8_1,-29.939690589999916,28.83630656555964
1854,LSO.9_1,-30.348764418999963,27.993449197980198
