nodeID,nodeLabel,latitude,longitude
1855,LT011,54.850358865500056,25.21478733251429
1856,LT021,54.20117674900004,24.092629634591564
1857,LT022,54.98996471300006,24.02201009992928
1858,LT023,55.75422325900007,21.41531298898822
1859,LT024,54.70273830250005,23.20672208948248
1860,LT025,55.90889812350005,24.97533460315353
1861,LT026,56.08240025900005,23.392187242176323
1862,LT027,55.40699406750005,22.36023854926483
1863,LT028,56.13981000900006,22.216920878880607
1864,LT029,55.39983659900005,25.76516911973389
