nodeID,nodeLabel,latitude,longitude
1887,MDA.10_1,47.00225628550007,28.86654870905853
1888,MDA.11_1,46.60254111600011,28.78240267671558
1889,MDA.12_1,47.20606998900007,28.99687457152404
1890,MDA.13_1,48.20773887700011,27.696562717279743
1891,MDA.14_1,48.0277576445001,27.866454777509496
1892,MDA.15_1,47.18456490250014,29.20604841736097
1893,MDA.16_1,48.12101173400015,27.290981191295216
1894,MDA.17_1,47.57199478150011,27.69213595094807
1895,MDA.18_1,47.90570640650012,28.36795598751592
1896,MDA.19_1,46.2073399570001,28.75968270206979
1897,MDA.1_1,46.95191955600009,29.174608107302863
1898,MDA.20_1,47.72214698750011,27.506196493012407
1899,MDA.21_1,46.83054351800013,28.426449776250152
1900,MDA.22_1,46.87940216100006,28.82927049507496
1901,MDA.23_1,46.55628265450005,28.40728689928224
1902,MDA.24_1,47.07823944050008,28.181016262898
1903,MDA.25_1,48.36233329850009,27.482691562185323
1904,MDA.26_1,47.3994927655001,28.76793148594113
1905,MDA.27_1,47.70952224700005,28.80504956098891
1906,MDA.28_1,47.93541145350008,27.44281082897769
1907,MDA.29_1,47.668657303000174,28.205108201164567
1908,MDA.2_1,47.76392555300012,27.95279814718289
1909,MDA.30_1,47.85331916750016,28.81579107848836
1910,MDA.31_1,48.15559387200011,28.183708781785548
1911,MDA.32_1,46.54033289400007,29.659108414389777
1912,MDA.33_1,47.17239761300005,28.58990283614645
1913,MDA.34_1,45.910313000000144,28.614561144082725
1914,MDA.35_1,47.584751129000125,28.533963211002558
1915,MDA.36_1,47.36653518750015,29.28241276931708
1916,MDA.37_1,47.24395179850009,27.906574652623256
1917,MDA.3_1,46.41574013050016,28.89013941427812
1918,MDA.4_1,46.84095764200015,29.45413112600013
1919,MDA.5_1,48.28067398150012,27.038452277762133
1920,MDA.6_1,45.7903794905001,28.328727501845187
1921,MDA.7_1,47.3026161195001,28.29947559200677
1922,MDA.8_1,46.26564216650005,28.352590765719757
1923,MDA.9_1,46.60166549650009,29.200936985928436
