nodeID,nodeLabel,latitude,longitude
2017,MOZ.10_1,-14.774020671499898,34.082364747042725
2018,MOZ.11_1,-15.401660442499916,37.60407151187273
2019,MOZ.1_1,-12.850422114499937,39.750401789942885
2020,MOZ.2_1,-25.03719043749996,33.117660522000065
2021,MOZ.3_1,-23.24899387399995,34.37139305246639
2022,MOZ.4_1,-18.24438571949989,33.33155422715284
2023,MOZ.5_1,-25.83509063649996,32.459300250370944
2024,MOZ.6_1,-26.02278327949992,32.39024149398503
2025,MOZ.7_1,-16.10902749999994,39.98401496266292
2026,MOZ.8_1,-15.070779800499936,36.499898082569054
2027,MOZ.9_1,-19.860234260499908,34.41591248815536
