nodeID,nodeLabel,latitude,longitude
1312,GTM.10_1,14.61399746050006,-90.04039860875207
1313,GTM.11_1,14.47432565700015,-89.59009322589685
1314,GTM.12_1,16.582904815500115,-89.54747749565405
1315,GTM.13_1,14.805212974500108,-91.48642927552636
1316,GTM.14_1,15.204245091500184,-90.85425874327665
1317,GTM.15_1,14.333333015500074,-91.87076274778434
1318,GTM.16_1,14.442860126000111,-90.80178812275572
1319,GTM.17_1,14.697988890000032,-92.1338888530828
1320,GTM.18_1,14.292537689500024,-90.39337053840008
1321,GTM.19_1,14.680147171500096,-91.1847085638718
1322,GTM.1_1,15.761314869000074,-89.59006827651015
1323,GTM.20_1,14.460401058000087,-91.36017700640778
1324,GTM.21_1,15.109027386000092,-91.36461983175305
1325,GTM.22_1,14.889012815000116,-89.77336030657541
1326,GTM.2_1,15.100671292000158,-90.67101046420036
1327,GTM.3_1,14.545086860000168,-90.95030569106152
1328,GTM.4_1,14.868995666000076,-89.29037726119344
1329,GTM.5_1,14.887187004500078,-89.90972511610872
1330,GTM.6_1,14.31356954600014,-90.80548473382204
1331,GTM.7_1,14.466095925000104,-90.6065929922268
1332,GTM.8_1,15.396411419000144,-91.30809453156148
1333,GTM.9_1,15.584919929500046,-89.0390964044785
