nodeID,nodeLabel,latitude,longitude
1980,MMR.10_1,19.709204674000148,96.09476789631924
1981,MMR.11_1,21.03438569400004,92.5747878424451
1982,MMR.12_1,24.903195381000103,95.25859044997252
1983,MMR.13_1,21.370394706500008,99.75092044377382
1984,MMR.14_1,13.892778000000106,98.15597375000011
1985,MMR.15_1,16.833425596500064,96.07910380653912
1986,MMR.1_1,16.943255500000078,94.70990936404638
1987,MMR.2_1,17.49416160500013,96.39417107480568
1988,MMR.3_1,20.95166015600012,93.85684892322053
1989,MMR.4_1,24.21388435350005,97.23009022458083
1990,MMR.5_1,18.917775154500102,97.18578308220812
1991,MMR.6_1,16.611525535500135,98.18431090465285
1992,MMR.7_1,20.744161605500068,94.89790975765118
1993,MMR.8_1,21.739020348500105,96.6493019756044
1994,MMR.9_1,16.354306500000035,97.52624900000012
