nodeID,nodeLabel,latitude,longitude
2096,NAM.10_1,-17.77038383499996,15.939395427250076
2097,NAM.11_1,-18.21694564699996,17.2940583230001
2098,NAM.12_1,-19.39545345249985,18.454446889572367
2099,NAM.13_1,-17.677426286999946,24.820027660517745
2100,NAM.1_1,-26.71198669349988,17.195789476862288
2101,NAM.2_1,-22.170833499999876,14.616107174434362
2102,NAM.3_1,-24.706666999999925,15.997488027257296
2103,NAM.4_1,-18.219195365999923,18.868827402376205
2104,NAM.5_1,-22.52267646749993,17.052081378360047
2105,NAM.6_1,-17.48042964949991,12.968420505250094
2106,NAM.7_1,-17.682120322999936,16.33900621640736
2107,NAM.8_1,-23.42848491649991,19.23280922965373
2108,NAM.9_1,-17.515299796999926,15.099994540852077
