nodeID,nodeLabel,latitude,longitude
384,CHL.10_1,-40.12575442399989,-72.17744190331621
385,CHL.11_1,-54.66714849999994,-70.28913559919113
386,CHL.12_1,-35.968282836499895,-72.34798047932657
387,CHL.13_1,-36.79480870549992,-72.28881400369661
388,CHL.14_1,-33.142422836499975,-70.59373374899447
389,CHL.15_1,-20.19794400549995,-70.00902538455767
390,CHL.1_1,-45.28928949999997,-73.95814125624993
391,CHL.2_1,-24.230436999999934,-69.323174984676
392,CHL.3_1,-38.64857913249992,-73.2902586625467
393,CHL.4_1,-18.475639827999917,-69.99234995150725
394,CHL.5_1,-26.418326499999893,-70.44989274339616
395,CHL.6_1,-37.29821273699992,-73.37896234358794
396,CHL.7_1,-31.46466050349997,-71.43727196397003
397,CHL.8_1,-34.03673971499995,-70.66693543492335
398,CHL.9_1,-42.0108799999999,-73.81222734032548
