nodeID,nodeLabel,latitude,longitude
274,BRA.10_1,-4.702721161499966,-47.11303256401192
275,BRA.11_1,-20.14733046449993,-52.9300725030329
276,BRA.12_1,-15.194418909999968,-56.31777397542548
277,BRA.13_1,-18.37337949699992,-47.48866985706853
278,BRA.14_1,-1.739181899499954,-48.8551263719296
279,BRA.15_1,-7.4862015389999215,-37.6391978537867
280,BRA.16_1,-23.30375721499996,-50.340212909238446
281,BRA.17_1,-7.864503333999977,-35.083374172740704
282,BRA.18_1,-8.330332904499897,-40.98425694629967
283,BRA.19_1,-23.151168612999868,-44.23058618994338
284,BRA.1_1,-9.954114493999924,-66.8799503299951
285,BRA.20_1,-6.430338169499919,-36.63661776650236
286,BRA.21_1,-31.693736899999948,-54.1812466898748
287,BRA.22_1,-12.474634854499897,-62.13758340074702
288,BRA.23_1,3.105010032500104,-62.61421100111177
289,BRA.24_1,-27.584440766999933,-51.05919460228448
290,BRA.25_1,-21.582233061999943,-51.034130271267614
291,BRA.26_1,-10.174718353999964,-36.92250503993189
292,BRA.27_1,-9.460462376499947,-49.34485830392255
293,BRA.2_1,-9.252068200499934,-37.88307153772563
294,BRA.3_1,1.6735694400000796,-50.24850124511068
295,BRA.4_1,-3.6747137669999006,-65.3421640763914
296,BRA.5_1,-13.298356137999946,-41.75157556706793
297,BRA.6_1,-7.3436471189999395,-39.04264850924706
298,BRA.7_1,-15.775902772999927,-47.77963105536988
299,BRA.8_1,-20.08887742249996,-41.101942324755
300,BRA.9_1,-16.79112807949994,-49.45440324633033
