nodeID,nodeLabel,latitude,longitude
2276,PER.10_1,-10.153750896499956,-76.13466849620046
2277,PER.11_1,-13.368377207999885,-75.90330653820789
2278,PER.12_1,-11.059290885999928,-75.49988070896987
2279,PER.13_1,-7.692794388499919,-79.12986496499039
2280,PER.14_1,-6.781339168999949,-79.7528356186319
2281,PER.15_1,-11.698610782999936,-77.11138790305247
2282,PER.16_1,-10.723117350499962,-77.71548586768998
2283,PER.17_1,-5.729171514499939,-76.61399642894756
2284,PER.18_1,-11.83571529349993,-71.8174933173117
2285,PER.19_1,-16.445151329499936,-70.53760646956576
2286,PER.1_1,-5.376374070999901,-78.43080805382077
2287,PER.20_1,-10.47312354999994,-76.43123433748059
2288,PER.21_1,-4.684279679999946,-79.64478022965062
2289,PER.22_1,-15.234564304499884,-70.17348238081753
2290,PER.23_1,-7.785002946499958,-76.34242060810632
2291,PER.24_1,-17.194375037499952,-70.32257984628473
2292,PER.25_1,-4.019742011499972,-80.61991788603042
2293,PER.26_1,-10.6477246284999,-73.29178235399533
2294,PER.2_1,-9.795627117499947,-77.5804782367482
2295,PER.3_1,-13.632701873999965,-72.85473275457531
2296,PER.4_1,-16.336800574499932,-71.49700281315398
2297,PER.5_1,-13.597364425499933,-74.11191997384039
2298,PER.6_1,-7.56889367099987,-78.25178092102601
2299,PER.7_1,-12.085693999999933,-77.22333149999994
2300,PER.8_1,-13.900584220499894,-71.6687395127752
2301,PER.9_1,-12.828939437499969,-74.57489793696891
