nodeID,nodeLabel,latitude,longitude
6548,ZMB.10_1,-14.852137700999975,22.7704619080475
6549,ZMB.1_1,-14.848476379999935,27.63752395287384
6550,ZMB.2_1,-12.390656593499898,27.81677451644706
6551,ZMB.3_1,-14.104826286999952,32.47921946072667
6552,ZMB.4_1,-11.744126286999888,28.70924383688743
6553,ZMB.5_1,-15.475169230999938,28.096939002081303
6554,ZMB.6_1,-11.254284350499944,32.79119884737425
6555,ZMB.7_1,-13.32669067349994,22.27015868844218
6556,ZMB.8_1,-11.078976286999932,30.29333995945413
6557,ZMB.9_1,-16.055206298999934,28.22318279586969
