nodeID,nodeLabel,latitude,longitude
2053,MWI.11_1,-13.906512736999929,33.78378517881616
2054,MWI.12_1,-15.17045926949993,35.72515221775545
2055,MWI.13_1,-13.950674533999916,34.95892143300006
2056,MWI.14_1,-13.789325713499892,32.8841142006207
2057,MWI.15_1,-15.997758864999923,35.4769753379929
2058,MWI.16_1,-15.759348391999907,34.623187298564524
2059,MWI.17_1,-11.886969088999932,33.58483992391284
2060,MWI.18_1,-15.79933977099995,34.7167755575889
2061,MWI.19_1,-11.596004962999928,34.43030753383381
2062,MWI.1_1,-14.979828834499926,34.947673098694835
2063,MWI.20_1,-12.831591605999904,34.382891836248604
2064,MWI.21_1,-16.71353626249993,35.01295443764257
2065,MWI.22_1,-14.810381888999956,34.62286352216602
2066,MWI.23_1,-13.347095489499935,33.92273664916405
2067,MWI.24_1,-15.46373319649993,35.759469507486045
2068,MWI.25_1,-10.759872912999924,34.43044866023177
2069,MWI.26_1,-13.731353759499967,34.62815856318085
2070,MWI.27_1,-15.994456291499915,35.31825775466173
2071,MWI.28_1,-15.325380802499978,35.72929343986423
2072,MWI.2_1,-15.795513152999945,35.050907670598704
2073,MWI.3_1,-16.014286040999906,34.79743119427282
2074,MWI.4_1,-15.694679736999916,35.18726879100447
2075,MWI.5_1,-9.692794800499968,33.26541012990704
2076,MWI.6_1,-14.375138758999896,34.31157403984743
2077,MWI.7_1,-13.650791644499918,33.931089154286205
2078,MWI.8_1,-9.916307448999902,33.934177652470936
2079,MWI.9_1,-13.014729499999902,33.47052455931289
