nodeID,nodeLabel,latitude,longitude
2043,MUS.10_1,-19.71944549999995,63.41763850000007
2044,MUS.12_1,-20.45871364499996,57.4892228991452
2045,MUS.2_1,-20.326467712999943,57.41546247502283
2046,MUS.3_1,-20.222499999999883,57.72320558476676
2047,MUS.4_1,-20.40440999999996,57.62803364268872
2048,MUS.5_1,-20.25348949449989,57.58923092043384
2049,MUS.6_1,-20.09805583849993,57.57393535195935
2050,MUS.7_1,-20.304767581999958,57.4961485735524
2051,MUS.8_1,-20.16836833899993,57.515956879250055
2052,MUS.9_1,-20.06594354999996,57.65201169550005
