nodeID,nodeLabel,latitude,longitude
2496,PT111,42.01324274900003,-8.357922266186291
2497,PT112,41.65040274900005,-8.44041376688023
2498,PT119,41.57267243150005,-8.156979323721359
2499,PT11A,41.205306635000056,-8.520550978299545
2500,PT11B,41.56483049900007,-7.644992961782334
2501,PT11C,41.181010385000064,-8.121389875529534
2502,PT11D,41.11735399900007,-7.36137809504435
2503,PT11E,41.51640397400007,-6.841603664238482
2504,PT150,37.24944050950006,-8.130656105129596
2505,PT16B,39.26035224900005,-9.109772518701774
2506,PT16D,40.63903249900005,-8.501611741878584
2507,PT16E,40.20521898600006,-8.334844043717453
2508,PT16F,39.83775649900005,-8.62377973967357
2509,PT16G,40.63903249900005,-7.961490998715228
2510,PT16H,39.83978823800004,-7.509517102915979
2511,PT16I,39.73572749900004,-8.174506739988905
2512,PT16J,40.67070051750005,-7.23083375274187
2513,PT170,38.65635030000004,-8.970399947619967
2514,PT181,38.00694189100005,-8.527339914159075
2515,PT184,37.94108089100004,-7.75406166093488
2516,PT185,39.125669249000055,-8.560317726740976
2517,PT186,39.12394974250006,-7.653122491538324
2518,PT187,38.65025424900006,-7.911710799443387
2519,PT200,38.56003563700003,-28.65557507205608
2520,PT300,30.03306772250005,-16.02929634117723
