nodeID,nodeLabel,latitude,longitude
2478,PRY.10_1,-23.442011833499947,-57.21646801931466
2479,PRY.11_1,-25.258053779499903,-57.21743750358094
2480,PRY.12_1,-26.03312301649993,-56.62804540633803
2481,PRY.13_1,-26.58788108799993,-55.70462990715506
2482,PRY.14_1,-27.429517746499958,-56.98512824024931
2483,PRY.15_1,-26.176809310999914,-58.05957782831419
2484,PRY.16_1,-25.88456821449995,-57.05484334230887
2485,PRY.17_1,-24.8236351004999,-57.60437940612479
2486,PRY.18_1,-24.79780197099996,-56.86378927299482
2487,PRY.1_1,-20.2364273069999,-58.65494657556856
2488,PRY.2_1,-25.49200344099995,-54.66246698837058
2489,PRY.3_1,-22.49775695849993,-56.43229094827272
2490,PRY.4_1,-25.286398887999923,-57.60560886195534
2491,PRY.5_1,-22.723416327999928,-61.34625972538541
2492,PRY.6_1,-25.193087577499966,-55.84104334618391
2493,PRY.7_1,-25.858483313999955,-55.75295258922674
2494,PRY.8_1,-24.12992572749991,-55.0683322757179
2495,PRY.9_1,-25.29002857149993,-57.41112946954411
